nickname;blurb
Scarlette Dill;We all know Johnny gonna win
Scird69;How did johnnys wine get outside of the apartment
slimelife;$jayladallasss for johnny $1
following back;if i was Jhonny id be screaming at the judgw and Amber
JBPow;Karma is coming for amber
Janeth Arredondo;Never contradice amber in work
Aiden :);Amber needs to be in prison
slimelife;$jayladallasss for johnny $1 .
jesscollins007;Cause Johnny is visible in that picture deliberately doing it …..
Gissel Galvan;Speculation that Johnny did the damage
_Misunderstood_;Idk why she still trying everyone know johnnys gonna win
yie;do you want to build a snow man? go away amber
CamD;How did Johnny fall for this trap?!?
Nuci/Eva;amber are you on your Period girly??
Susan Wadsworth;I know an Amber Heard
monbegixi;que grandes pruebas amber, muy creíbles
Kaleb McClain;Has anything compelling come out from ambers trash team yet??
Jessica Dodge4750;she a liyer . prayers to johnny
geminitwin;keep your head up Johnny
timhuber870;Hollywood  get your amber heard story  here
Raquel Casas;Omg Johnny drinks wine everyone does I’m so annoyed with her already
B@nn3d 2 times;Johnny knows she lyin
CHRIS 1017;You did that Amber c’mon now
uh.kaylee.ig;Yes johnny took time out of his day to break every picture she owns (THEY ARENT EVEN BROKEN LMAO)
jaden;Guys not only Johnny not innocent!!
Biggley Boobar;Amber is the new Karen
zuzu;BOOOOOOOOOOOOOOOOOOO AMBER BOOOOOOOO
sara hartley;Johnny just doesn’t care lmao
michaelowens9454;those calling justice for amber are you blind or a narcissist
Nitascornerr;Johnny is reading this chat me thinks
Blue girl;Omg a pic in the floor you don’t say!  Go scream abuse Amber
Steven Palmer Short;johnny playing solitaire
laura Ann;When is johnnys team interviewing her ?
Brooke Dawn;When does Johnny lawyer ask her question?
annebo59;Can amber NOT pick up her own S..t
4uval;@hoaoaihuong95.bg Amber < trash
L8eybugzz;I wonder if Johnny got the Wordle today
Max Kennedy;Johnny is just a pure soul
Foryou;Johnnyyyyyyyy u hit meeee
hello;Johnny is like Come on
Lenal Lambert;johnny is trying so hard to not laugh
Scarlett Rose Lovell;That’s childish pictures amber
Jared Richards;BELIEVE ALL WOMEN. JOHNNY IS A DRUG ADDICT. #TEAMAMBER
Helen Chavez;Why do people support amber?
Lexi;she obviously staged this whole thing just to make Johnny look bad ..
SSA Rylee;johnnys writing down all the shit he wish he could say
dahlia;i wish johnny knew how much we believe him
Jared Richards;BELIEVE ALL WOMEN. JOHNNY IS A DRUG ADDICT. #TEAMAMBER
Katie;Amber probably did alllll thaaaat
Michelle;The language is unique Amber.
Ashley Mills-Granzow;Pictures don’t prove Johnny did any of this. She could have done all of this
Editsarethewaytobe;Jonny depp should win
Sherrie;So she means to say in all the videos she made of Johnny, not one of them shows him hitting her?
user8779147223039;amber can sukc a fat one
Christina;johnny is calmly drawing another masterpiece picture
TheBasicBiker;All these photos were taken to "protect Johnny Depp" ahaha
lowridinin64;I threw that on the floor...I mean Johnny
broadface_mikayla;Look at Johnny attorney he know she lying lmao
mia;HOW IS JOHNNY A MONSTER?
Justice for Johnny Depp;We love you Johnny. you are not alone in this. #Justiceforjohnnydepp
en;the bigest problem is amber a verry bad actress
Multi.fandom.15;Their is no prove that Johnny did it
Breanne Priscilla Kiter;All pictures but no video footage? Amber you’re a joke
abbie not aby;EVERYTHING IS SO STAGED LMAO AMBER
Jasmin Gomez;damnn johnny must of looked like  tazmain devil doing all this damages at once lol hahahaha
theidotix;Justice for johny Depp
Leanna Roopsingh;Johnny not the bananas!
Sophie;@tosher23 lol not true, women have lied about this shit. Not saying Amber is but
Kenneth Dickey969;Johnny got high score on candy crush during his trial..lol
Teresa Hill;Amber is dramatic.. the pictures look stacked like he was trying to kicked her out!!!!
A pov creator from flop era;Amber can make such good staged photos she can be a faker instead ……oops she already is
Marissa Simone;why dont depps lawyers object as much as ambers did when he was cross examined
Alex Brown;DAMNET AMBER PRODUCE PRICES ARE EXPENSIVE
Kim B;Prove you didn’t stage all this amber
AnythingASMR;HOW COULD JOHNNY MARRIED SOMEONE LIKE HER IN THE FIRST PLACE???
Savanah828;Where’s judge Judy when you need her #justiceforjohnnydepp
Kaylyn Boothe;right can we go back to the fact that johnny hasn’t proven to be there at this time
SZ Ahmed;No proof Johnny knocked anything
Wilma Smith;she has set Johnny up defo
Matt;you stand with amber? def stand alone by
Jared Richards;BELIEVE ALL WOMEN. JOHNNY IS A DRUG ADDICT. #TEAMAMBER
ConservativeKat;She said it was knocked off when Johnny left
Fatimah;Ambers addiction of throwing stuff and taking pics of it
SZ Ahmed;No proof Johnny knocked anything
Dawn Cramer820;So where are pictures of Johnny actually in penthous
Leah Quay;“He smashed things!!!” (Meanwhile Johnny - throws fruit bowl onto floor)
Sonia;Amber wants the jury to feel sorry for her!!!! I Don’t Think Soooo!!!
Gray;So Johnny likes to knock shit over when angry. What does that prove?
SZ Ahmed;No proof Johnny knocked anything
lo Tafa;Can someone tell me when Johnny is on.
Insomnyak;the bee stepped on ambers eye
Silvia De Chavez;Ya quiero que los abogados Johnny le hagan las preguntas va a ser una masacre
Ashton Mcclendon496;I think amber has a thing with carpets
Sidra Bashir;my kids make a bigger mess than Johnny!
Dani;Johnny needs to go to jail.... those poor potatoes
ry guy;Amber notices a lot of objects on the fooor
Hamood Habibi;My dog stepped on a bee, I screenshitted ambers feet
Seven UP Club;Johnny in there watching TikToks
Nick Sloan hi leave me alone;amber always high lmao
Kurisu;Soooo Johnny wasn’t there & it was knocked over?
RizingShadow;I am sending likes for Johnny
beautybyashleek;Anyone know when johnnys lawyers get to question her???????????????
Lasse Meo Schiefer;Johny Johny Depp lala
MF;A messy house from Amber tantrum
Jossy Vargas871;Okay imagine what Johnny went through with this woman
user4222878940765;Johnny DV and blackouts. Team Amber so far
PR Mami;Amber Heard is clearly lying
nannymack;few things knocked over or smashed nit really a major crime scene grow up Amber
Amie Bailey;if Johnny was in rage he would have destroyed the pictures not leave it perfectly placed on bed ,flo
Your moms favorite child;Someone said they stand for amber
user5764612425043;She remembers this cause she staged this ! Johnny plz stay away !
Ciarra;What if she was the one who did it not Johnny ????
Fi;Do you guys think Amber or Johnny will win? Team Johnny
ykmbzac._;IM CONFUSED IS JOHNNY HITTING HER OR OBJECTS IN HIS OWNED HOUSE
Kaysee Ellis;Believe all women except Amber heard and other flat out liars
Jessica;Why don’t y’all let Johnny talk it’s always her lying self she probably did all that to blame him.
gibby;JOHNNY DEPP FOR THE WIN
MaysAllure;When Johnny left?? That means he didn’t do it lol
Juju :);Yes but Jonny don’t touch Amber just the mobilar
Yonhara Faedo;Correction johnnys office everything Johnny owned in that house
Robin Benz;Team Johnny, 12 points
Dento098;It’s not like Amber cleans house
ykmbzac._;IM CONFUSED IS JOHNNY HITTING HER OR OBJECTS IN HIS OWNED HOUSE
KillingTime;so pretty much Amber could patronise and hit him but he was not allowed to show emotions.  whole cas
ykmbzac._;IM CONFUSED IS JOHNNY HITTING HER OR OBJECTS IN HIS OWNED HOUSE
kayla;WHEN WILL JOHNNY BE QUESTIONED??????
Gucci Boyzzzzz;Lets go johnny lets go
MARIA SILVANA LOPEZ ;Puras mentiras dice Amber heard
Cuussn;AMBER HEART IS SUSSSSS
Lûna278;amber routine: wake up, eat breakfast, take a sh*t, get out if bed
ykmbzac._;IM CONFUSED IS JOHNNY HITTING HER OR OBJECTS IN HIS OWNED HOUSE
Taurustude8;how did that carpet get so dirty for real Amber
plugsway;Get the story right please make it believable because when Johnny gets up there is over
nimmiy11;TEAM AMBER GOOD SCRIPT
Silvia ugoeze;I feel sorry for Johnny
Manu Silva;no an voice prove of johnny hitting her
Boann;I’m blaming Johnny if I drop anything from now on
Ashley Moss;Everyone team amber needs to leaveeee
Gucci Boyzzzzz;Lets go johnny lets go
Rawr.magische.dinoland;Amber is such a backstaber
ykmbzac._;IM CONFUSED IS JOHNNY HITTING HER OR OBJECTS IN HIS OWNED HOUSE
LauraHoneyMaker;Jennifer gray said Johnny Depp was “crazy jealous” “controlling” and “paranoid”
Miss quirky;where is the proof Johnny did it????
B;Clean after yourself amber
Jackie Schrader;None of this is actually TO her like Johnny’s finger and the bruises
Kurisu;Notice there’s literally no videos or pictures of JOHNNY doing any of these things lmao
marissa3585;How about clean up after yourself amber?
Adegbola Victoria;So…he threw everything on a spot????Amber stop lying
daniellamiles170;Johnny abused himself and that gave her gateway to abuse and manipulate him
boy;what did Jonny depp do to go into court
Octavia Kious;curious johnny has this huge pent house wonder if he has hidden security cameras
marioc352;AMBER AMBER WIN AMBER AMBER WIN
Alejandra Sanchez;I can’t wait for Johnny’s team to go
Hemma;for someone that was trying to protect johnny she took alot pictures
Unknown;She said this was a picture of the fruit bowl that was knocked down when Johnny left
spookyshanny;Johnny Johnny yes papa eating sugar no papa telling lies no papa open wide ahahah
uh.kaylee.ig;these are so staged poor johnny
Pari;Johnny done many movies you did AQUAMAN???
Angeline Renee Perki;Are they going to provide any proof at all the Johnny is actually responsible for this damage?
appleuser96662479;Amber is craz, anyone that’s knows her should be scared.
Chevyhasmyheart;I think it’s funny she tried to ruin Johnny and instead she ruined herself lmao. Karma is a
Brie Byther;I wannanknow what johnny is drawing today
sarahsquirrels40;Was her Johnny depp poster in her keepsake box
sky;i feel so bad for Johnny
Miss quirky;wheres the proof??? poor Johnny.
Julie stratigos;Hope Johnny wins this
Talcum vaya;Johnny is making another masterpiece.
user1014572348579;Wait for the cops to leave then mess it up and take pics, blame Johnny and say police are blind
Taylor Baldwin;we love you johnny!!!!!
Crysta Williams;Believe all woman but AMBER
Anna;@jashincea johnny will be free!
michellelory358;yes amber lie some more!
xakery;no to whoever thinks amber is the good one
Crysta Williams;Believe all woman but AMBER
Dani Bickford;Why didn’t they question Johnny about these photos
ur mum;TEAM JOHNNY LESSSGOOOOO
sammi sturgeon;johnny don’t gaf at all, he knows he gonna win lol
Crysta Williams;Believe all woman but AMBER
Banned at 8.5k;Johnny drawing the graffiti S
Jackie;Looking a lot like Amber set all these pics up
that gemini ginger;Johnnys team is so classy and well put together
broadface_mikayla;Johnny sleeping while she lying
Patty†;HAHAH SO STAGED LMAO GO TO HELLL AMBER
Cara Turner;@kristafromthenorth but thankfully it’s using up defendants time, less time for them to call Johnny
Crysta Williams;Believe all woman but AMBER
mr.somebody28;johnny we are here for u
Lynn Williams518;She isn’t a victim only Johnny is!!
emma;Team Johnny of course
Ali;I wanna know what Johnny is writing
Marina Miranda;@nosferaltu0 nothing amber staged it all
user318160012;Team Johnny, end this already
CHRISBREEZY;JOHNNY GO JOHNNY JOHNNY WILL WIN
Amber Johnson;Wonder if Johnny is drawing another picture.....
Crysta Williams;Believe all woman but AMBER
Peggy James;No worries, Johnnys team will straighten it all out
ivanabrown77;How can she proof that it was Johnny who broke all the stuff…
Mi’chel Rose;Praying for Depp, hope he wins finds true loves and heals from this
Juliza_Lemus;Amber : let me knock this over and say he threw this at me and take a picture
Crysta Williams;Believe all woman but AMBER
YaYa;is this a ploy to drag out time so that she doesnt get questioned today by johnnys lawyers!
JJ;Johnny’s team unbothered
Viuda_Negra;That Johnny is so aggressive placing pictures on the floor
land.of.axolotls;Anyone saying team amber are just wrong!!!
diannelyncormier;I see nothing proving Johnny did any of that. it all looks so staged.
Lt. Aldo Raine;justice for johnny l!!!!!!!
Dento098;My heart goes out to Johnny
Crysta Williams;Believe all woman but AMBER
damdragon13;terrible acting amber
kathelewis1;Let Johnny go. She is a nut case. No proof he did any of this. She dumped that stuff and broke glass
Kelly Letitia;None of Johnnys exs reported him as ever being abusive.
Crysta Williams;Believe all woman but AMBER
user324365789;so where’s the evidence Johnny did this?
Lynn Williams518;If you believe Amber then you’re definitely the little boy who called wolf
Jus._.taquee.-.rbixch2719*;Imma owe Johnny money
Hellowhatsupwhatdahell;you heard johnny punch that picture?
quadshotindicaaa;The real question is what happened before this “scene” she probably once again provoked Johnny
Yonhara Faedo;If Johnny really hit you, you would’ve had a video of him actually hitting you or something
Hope Emmily Tucker;no proof of cut hand of johnny
warhead_anti_tank;justice x Johnny, AMBER WITCH
Cynthia Bolich;I wonder if Johnny has cameras in his home to show all of this because she is full of lies
Crysta Williams;Believe all woman but AMBER
RoninXavier;So what she’s trying to show is that Johnny went from room to room knocking random things over? Ok..
Kurisu;Amber, where’s any pictures or videos of Johnny doing these things?? Oh wait there is none lol
Zachary;AMBER I CANNOT STAND YOUR LIES
Rachyn;HAHAHAHA NICE ACTING AMBER.
Alex Mtv;Yeah, Amber heard :)))
MONGREL MOB CENTRAL ;She heard it Amber heard it hahaha
Grom_Go_skrrrrt69;snort another bump amber
Ripper’sHeart;I believe that Johnny did "reactive abuse". In which someone abuses you until you explode
Jessica Charlene Beaumont;love Johnny from Canada
slimelife;$jayladallasss for johnny $1
......;justice for Johnny Depp
Damselflies;Amber looking like Yzma today
hgcfgioojv;What’s in your eye Amber?
Stephanie Vergara;this is literally a joke! we all know she is lying #teamjohnnydepp
Jennifer Thomas;Amber please leave your eye alone. It’s annoying
.;I dont blame johnny for doodling. This aint no proof.
slimelife;$jayladallasss for johnny $1
Sidar Cetin;why aint johnny says anything
user9180989113241;Johnnys team best come for her
.;I heard amber hit johhny now were both fair
Ella;My dog stepped on a bee. Johnny punched a picture.
welivewelearn;only Annalise Keating can save Amber
Jared Richards;BELIEVE ALL WOMEN. JOHNNY IS A DRUG ADDICT. #TEAMAMBER
Carlos;Lots of love and light to Johnny
Elizabeth Alexande25;why never evidence who did this plenty photos after Johnny has left
Hayley Bruce;He could of head butted it amber but nahhh he punched it you heard it lmaooo
kophaill;Seems like Johnny “enjoys abusing photo frames” huh
Sebastian Escribano;I don’t like the way she says Johnny
Aqib_0460;"johny punch it?i heard it"-amber Heard
Cowboy;johnny punched it and yet its not shattered or cracked at all
Chlo Howell;Whens johnnys team questioning her???
user393543;this shows alot. pictures of her friends...friends living of johnny..where is pictures of her&jd
…;Amber heard the punch lmao
cacaflore;WHAT HAPPEND WHEN AMBER MENTIONED KATE MOSS?DID SHE CAME IN COURT??
slimelife;$jayladallasss for johnny $1
Sadie Potvin;Someone said team Amber… U KNOW U WRONG FOR THIS
cazneville978;she hearded Johnny all the way and left her heard mark everywhere
jameshoose799;Johnny did not punch that if he did it would have been much bigger who know maybe the bee did it
cacaflore;WHAT HAPPEND WHEN AMBER MENTIONED KATE MOSS?DID SHE CAME IN COURT??
audrianna irving;its empty tho you put it there amber
cecydiaz;#justiceForjohnnyDepp
Zachary;Johnny cannot be bothered on what’s happening in court.
FrankthenotsoTank;Who just said Team Amber??!
Eloquent Strength Po;why is Amber being so gaslighted?
albanianXG;I SAID JOHNNY YOU HIT ME!!
DRC;This has been 40% same or pointless pics and 60% amber touching her eye lol
Tyra;johnny looks like he’s drawing again
Sebastian Hernandez ;Solo para decir que apoyo a johnny deep y vendo tamales
Manoli de Santllu;todo es un montaje echo por ti Amber
Kadence;Take Johnny to jail?? What??? Amber is lying
ANGELA<3;wait how johny destroy all of that? Or just amber want a house tour?
SharonL;Amber trashed the place and took pics!!!!!!!!!!!
crystalbeam22;sidenote Johnny has a candy jar
Kat_2413;Can she hear my punches or just johnnys?
......;JOHNNY DEPP IS INNOCENT
cacaflore;WHAT HAPPEND WHEN AMBER MENTIONED KATE MOSS?DID SHE CAME IN COURT??
audrianna irving;amber put the bottle there
Noahkrs;Imagine depp called guilty
Suzanne Seiberth;standing with you Johnny
Ilmo;Do you all really think Johnny didnt do anything?
Asonja V;She keeps wiping her eye so she can keep looking at Johnny without being noticed.
BoyChar;What did Johnny ever see in her
Natalie Toal;johnny will celebrate winning with a mega pint
sa_moonchild;Johnny has a candy dish!!
annoream;Johnny lookin handsome as ever
slimelife;$jayladallasss for johnny $1 ..
Bella;When amber goes to jail who will mind ambers baby
@yamahaR1;Amber broke that stuff
G R;It’s johnnys apartment though
anotherraquel;Believe all women except Amber Heard!
Kan vi nå 2500 likes;Johnny deept is the beast
Kaysee Ellis;DID YOU SEE JOHNNY DO THIS
Lupita;The bottle de vino lo tiro amber cuando se lo acabo
Rustiikki Ruksi;Johnny yawned secretly...
Alissa Sweeten;When does Johnny get to testify! She is driving me crazy!
Sony DaProblem;wow Johnny you are a spiller huh
ItzChlo;Justice for Johnny!!!!!
Chris Tomes;i feel so bad for johnny
Amanda Mathis;HOW CAN THEY PROVE IT WAS JOHNNY THAT DID WHAT WAS DONE IN PHOTOS. HES NOT IN ANY OF THEM....
jfjsksn;idc Amber should be in a jail
user5141652164895;what does your dog and your “plasticky” carpet have to do with johnny
Aleihs Nirel;not johnny for sure she done all this mess on the floor
Veronica Mrtnz;Amber next time use flash
user8933267574410;Wait. I thought Johnny was this already? Now what are we doing?
mjwerlein;even Amber looks bored
undefined;If only she had a video or picture of johnny doing all this
Tessia King;When is Johnny gonna get to talk
Katie;She keeps looking at Johnny
lil;bruh she keeps looking at johnny
Kim RoMo;JUSTICE FOR JOHNNY DEPP
Cass;Oops dont smile amber
Kurisu;All of these pictures show absolutely nothing other than placed objects. Not once is Johnny seen
Torsie;TEAM JOHNNY WHEN HIS LAYER TURN ???????
minihulklogan;As if Johnny would waste wine,.. he needs it for his MEGA PINT
RizingShadow;I need a mega pint dealing with amber
user440391896018;Its NOT Johnny, respect and say Mr Depp
Kim RoMo;JUSTICE FOR JOHNNY DEPP
aeonsandra;U d better show the picture of Amber’s shit
Sarah J;Johnny would never do these things she’s just upset because Johnny divorced her
kuratel;Johnny VIEL KRAFT FÜR DICH, KÄMPF WEITER !!!
Kim RoMo;JUSTICE FOR JOHNNY DEPP
SharonL;It’s Johnny’s blood!!!
ui;amber peed on the floor
Josi Steffenhagen;Oh no johnny split wine on the floor !
Dacia;Why isn’t Johnny in any of the photos while he doing these things ?
Rustiikki Ruksi;Does Johnny have any pictures...?
brensuee;All these pics. but Johnny not seen doing any of this
Beebs Marie;The pictures look so staged, get real  amber
tammy;team johnny all the way.
Kim RoMo;JUSTICE FOR JOHNNY DEPP
Nadia;la fausse victime amber
avery;looking lethargic amber
